TagName,TagCategory,TagDescription
Veeam_Weekly_Mon_0230,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0300,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0330,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0400,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0430,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0500,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0530,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0600,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0630,Veeam_Backup,Veeam Backup Schedule
Veeam_Weekly_Mon_0700,Veeam_Backup,Veeam Backup Schedule
